task_id,domain,task_class,runtime_commit,verified_dataset_commit,gold_pass,noop_pass,omission_detected,alternative_valid_pass,policy_consistent,official_gold_reward,strict_gold_reward,success_official,success_strict,task_initial_state_hash,environment_initial_state_hash,reward_basis,admitted,failure_reason,exclusion_reason,manual_review_required,flags
[mms_issue]airplane_mode_on|bad_network_preference|break_apn_mms_setting|break_app_both_permissions|data_mode_off|data_usage_exceeded|user_abroad_roaming_enabled_off[PERSONA:None],telecom,normal,a2c024725189473d2d7cea3a5cfdbcc67478e41f,864350a8971a8f8ee9e7b8472e2edc380a806b0c,True,True,True,PASS,True,1.0,1.0,True,True,00ff701d2c79f4e07f46a223595708123f161655441842c77bb8b05037c5226b,d305fee0de4d1e95166ab4cb443f4dd4ef223bf28b5eafe4adf9f6478fdf596e,"[""RewardType.ENV_ASSERTION""]",True,,,False,[]
[mms_issue]airplane_mode_on|bad_network_preference|break_apn_mms_setting|break_app_storage_permission[PERSONA:None],telecom,normal,a2c024725189473d2d7cea3a5cfdbcc67478e41f,864350a8971a8f8ee9e7b8472e2edc380a806b0c,True,True,True,PASS,True,1.0,1.0,True,True,2fe7eebdbede61ab0262570f44ad14fb0b500f33bcef424747a10b431a552e3d,863e5e62ce9c2113cf11c3a3b7b6d3f8eaec6f127be0d2fde64cef58c484d02a,"[""RewardType.ENV_ASSERTION""]",True,,,False,[]
[mms_issue]airplane_mode_on|bad_network_preference|break_apn_mms_setting|data_mode_off|unseat_sim_card|user_abroad_roaming_disabled_off[PERSONA:Easy],telecom,normal,a2c024725189473d2d7cea3a5cfdbcc67478e41f,864350a8971a8f8ee9e7b8472e2edc380a806b0c,True,True,True,PASS,True,1.0,1.0,True,True,ddfb59e2cc291b20f3c1da80b78dc8d43d7d9aaf5146218ab71beb239332daf8,742273c6797a05226a16e0aca3930bad35292b5221081ec322a39ad80a8e6fce,"[""RewardType.ENV_ASSERTION""]",True,,,False,[]
[mms_issue]airplane_mode_on|bad_network_preference|break_apn_mms_setting|data_usage_exceeded[PERSONA:Hard],telecom,normal,a2c024725189473d2d7cea3a5cfdbcc67478e41f,864350a8971a8f8ee9e7b8472e2edc380a806b0c,True,True,True,PASS,True,1.0,1.0,True,True,2e7575cf115e5dc0da288e10375d8b13d5fd9e1cce3d1a07761f8e7fa787facb,c1106190f0f004007d13a1c325a71a5dd0508b3c97e28fdb04a60da1111c9a17,"[""RewardType.ENV_ASSERTION""]",True,,,False,[]
[mms_issue]airplane_mode_on|bad_network_preference|data_usage_exceeded[PERSONA:None],telecom,normal,a2c024725189473d2d7cea3a5cfdbcc67478e41f,864350a8971a8f8ee9e7b8472e2edc380a806b0c,True,True,True,PASS,True,1.0,1.0,True,True,270fae47e04097201fcb05da675e0c92d3e3d49d0bef99b23cc3e7cce63d2c0d,9b19b59c5c50c822d58ecae02309288d43e8f780d3779ad1100cc445e8b4cd99,"[""RewardType.ENV_ASSERTION""]",True,,,False,[]
[mms_issue]bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|data_mode_off|data_usage_exceeded|unseat_sim_card[PERSONA:Easy],telecom,normal,a2c024725189473d2d7cea3a5cfdbcc67478e41f,864350a8971a8f8ee9e7b8472e2edc380a806b0c,True,True,True,PASS,True,1.0,1.0,True,True,405f14d746330bcc598d9e70ed7e81b5e74d8de3f3b6db9a872a6cb932e1e01e,fbf39f00f5fa37a2c271a088cf1ec33ce61e891a92b67f1f6b3267e7867fd365,"[""RewardType.ENV_ASSERTION""]",True,,,False,[]
[mms_issue]bad_network_preference|bad_wifi_calling|break_app_both_permissions|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_off[PERSONA:None],telecom,normal,a2c024725189473d2d7cea3a5cfdbcc67478e41f,864350a8971a8f8ee9e7b8472e2edc380a806b0c,True,True,True,PASS,True,1.0,1.0,True,True,e1eff3d1b409650b609f688dff082340bb8ea9a49ee406232714fdd34529ff17,8943cb701506c40578970a7fe8f2e2573d01617454974264f75b17e24dc093da,"[""RewardType.ENV_ASSERTION""]",True,,,False,[]
[mms_issue]bad_network_preference|bad_wifi_calling|break_app_both_permissions|data_usage_exceeded|user_abroad_roaming_disabled_off[PERSONA:Hard],telecom,normal,a2c024725189473d2d7cea3a5cfdbcc67478e41f,864350a8971a8f8ee9e7b8472e2edc380a806b0c,True,True,True,PASS,True,1.0,1.0,True,True,a8431071fec66cc2ef5ff991cff3881ac37a6ddb6c85fb8e8f196a22e8852162,81aa6a8a4b5b2f96f4b148c3702ed364bcd4018bff35f020437eded6f6aca7fc,"[""RewardType.ENV_ASSERTION""]",True,,,False,[]
[mms_issue]bad_network_preference|bad_wifi_calling|break_app_sms_permission|data_mode_off|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:Hard],telecom,normal,a2c024725189473d2d7cea3a5cfdbcc67478e41f,864350a8971a8f8ee9e7b8472e2edc380a806b0c,True,True,True,PASS,True,1.0,1.0,True,True,7caf665c0ce0406ddf3dd52ed25eeaef8074976e619b6dddc5090073b2a83c3b,f4469ca4606b5e3f2753df733e284d7d5a1ff7e495d97579e26c0c28b87850e0,"[""RewardType.ENV_ASSERTION""]",True,,,False,[]
[mms_issue]bad_network_preference|break_app_sms_permission|data_mode_off|data_usage_exceeded|user_abroad_roaming_enabled_off[PERSONA:None],telecom,normal,a2c024725189473d2d7cea3a5cfdbcc67478e41f,864350a8971a8f8ee9e7b8472e2edc380a806b0c,True,True,True,PASS,True,1.0,1.0,True,True,f38197445e987cdc83f0ce79b76e6b9764456fc8f4d342eac07e715c375fce96,8c140ad0730763a1adc83983d5c3dce37b9c659ca01da9220c2752359342101d,"[""RewardType.ENV_ASSERTION""]",True,,,False,[]
[mms_issue]bad_network_preference|user_abroad_roaming_disabled_off[PERSONA:None],telecom,normal,a2c024725189473d2d7cea3a5cfdbcc67478e41f,864350a8971a8f8ee9e7b8472e2edc380a806b0c,True,True,True,PASS,True,1.0,1.0,True,True,e509ee56fb983156c1b94c38cec778db5ea18c87bf6c7104cd9b114cae2dec5c,955ea75f471acd964e92487eee26d478eb7447c36ee2b0dcad3959769dcf9a8a,"[""RewardType.ENV_ASSERTION""]",True,,,False,[]
[mms_issue]bad_network_preference|user_abroad_roaming_disabled_on[PERSONA:None],telecom,normal,a2c024725189473d2d7cea3a5cfdbcc67478e41f,864350a8971a8f8ee9e7b8472e2edc380a806b0c,True,True,True,PASS,True,1.0,1.0,True,True,50698b925205b289da7b272408929bf390008912a73704f7ec032c0ffcd1d65d,2e7d78f61312127c18053e0daea7aee1f87288f8f77553292023dbdd15becf67,"[""RewardType.ENV_ASSERTION""]",True,,,False,[]
[mms_issue]bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_usage_exceeded[PERSONA:Hard],telecom,normal,a2c024725189473d2d7cea3a5cfdbcc67478e41f,864350a8971a8f8ee9e7b8472e2edc380a806b0c,True,True,True,PASS,True,1.0,1.0,True,True,c2bcb7782f73844ccae4fa50f6c7e17a9b9cbd2f3152ca8c309545649761df80,788a7ac70eb17f2318ee4ff9a19d2fc02b9ff6394d3c5138c69fe9a28a9516d3,"[""RewardType.ENV_ASSERTION""]",True,,,False,[]
[mms_issue]bad_wifi_calling|break_apn_mms_setting|data_mode_off|data_usage_exceeded|unseat_sim_card[PERSONA:None],telecom,normal,a2c024725189473d2d7cea3a5cfdbcc67478e41f,864350a8971a8f8ee9e7b8472e2edc380a806b0c,True,True,True,PASS,True,1.0,1.0,True,True,1a646db5cf38c156d18ccfb1a4bd0e9928b23c116e10c3c19a481047caa51c77,9fa3dabcdc58867f6b7ef36c660ae685334a5fa64173c3117536dae739b09719,"[""RewardType.ENV_ASSERTION""]",True,,,False,[]
[mms_issue]bad_wifi_calling|break_apn_mms_setting|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:Easy],telecom,normal,a2c024725189473d2d7cea3a5cfdbcc67478e41f,864350a8971a8f8ee9e7b8472e2edc380a806b0c,True,True,True,PASS,True,1.0,1.0,True,True,46ea9cc55349af5e9db7fc68d4134d8d621fafcca2b7250383dbfed6263af728,919335a9127a8709740ceba14b6d8fc532556dd55c6750f98c49d001d1af88ca,"[""RewardType.ENV_ASSERTION""]",True,,,False,[]
[mms_issue]bad_wifi_calling|data_mode_off|data_usage_exceeded[PERSONA:Easy],telecom,normal,a2c024725189473d2d7cea3a5cfdbcc67478e41f,864350a8971a8f8ee9e7b8472e2edc380a806b0c,True,True,True,PASS,True,1.0,1.0,True,True,8a58a5635054c2a1d7df244f2142363fbb6d35c189f819e69cafc75bbefc8cf2,745de2dba385a79a1dbbf558505e2cbfaf55c5502c8cdbee152aa58223aebceb,"[""RewardType.ENV_ASSERTION""]",True,,,False,[]
[mms_issue]break_apn_mms_setting|data_mode_off|data_usage_exceeded|user_abroad_roaming_disabled_on[PERSONA:Hard],telecom,normal,a2c024725189473d2d7cea3a5cfdbcc67478e41f,864350a8971a8f8ee9e7b8472e2edc380a806b0c,True,True,True,NOT_CONSTRUCTIBLE,True,1.0,1.0,True,True,577564d504a09862e7864a4f03433a70071fac641106393ef358bde9ad6f8fc2,7dcba0a71da3d55b9f44b6c94a4cb5bd80f701b8588b534f4ddffd40986bfff9,"[""RewardType.ENV_ASSERTION""]",True,,,True,"[""alternative_not_constructible""]"
[mms_issue]break_apn_mms_setting|data_mode_off|user_abroad_roaming_disabled_on[PERSONA:Hard],telecom,normal,a2c024725189473d2d7cea3a5cfdbcc67478e41f,864350a8971a8f8ee9e7b8472e2edc380a806b0c,True,True,True,NOT_CONSTRUCTIBLE,True,1.0,1.0,True,True,04d4e747a767359e3a9f5d55d3d73e766899ed79b483e72be16b0d8ff8a8bf9b,c11b0af086b5f7503e36be050184e4dfe6f25c50a055f1cb2be2b429b8c759b4,"[""RewardType.ENV_ASSERTION""]",True,,,True,"[""alternative_not_constructible""]"
[mms_issue]break_app_both_permissions|data_usage_exceeded[PERSONA:Hard],telecom,normal,a2c024725189473d2d7cea3a5cfdbcc67478e41f,864350a8971a8f8ee9e7b8472e2edc380a806b0c,True,True,True,PASS,True,1.0,1.0,True,True,cf492bc45a2282d5268d1dde441abf5c1450a6018fbfcfcef365ebe75f4cf759,3f86b9b26fe74090f12c3fe3eebbc4e972f04176514e9d2e7c177df71750bb71,"[""RewardType.ENV_ASSERTION""]",True,,,False,[]
[mms_issue]break_app_both_permissions|unseat_sim_card|user_abroad_roaming_disabled_on[PERSONA:Hard],telecom,normal,a2c024725189473d2d7cea3a5cfdbcc67478e41f,864350a8971a8f8ee9e7b8472e2edc380a806b0c,True,True,True,PASS,True,1.0,1.0,True,True,d9c0c1b84d2991177eb0c70ccdf309463c2400b38bf75135047bad5296bba175,6c6ab8974a57bd4f21f7276810b2a6ab51ec3a8b71298e25e173a7aee7c11064,"[""RewardType.ENV_ASSERTION""]",True,,,False,[]
[mms_issue]break_app_sms_permission|data_usage_exceeded|user_abroad_roaming_disabled_on[PERSONA:None],telecom,normal,a2c024725189473d2d7cea3a5cfdbcc67478e41f,864350a8971a8f8ee9e7b8472e2edc380a806b0c,True,True,True,PASS,True,1.0,1.0,True,True,457b93b2a4e5e467a64b6f2d40852fb7d3a52a8bd6dc3a2329593a61a42ca9a7,391fee0a479078d9a9ec7f170c471c9b4e88febdf2d2b5d8f3ab751f3378e3a1,"[""RewardType.ENV_ASSERTION""]",True,,,False,[]
[mms_issue]break_app_storage_permission|data_usage_exceeded[PERSONA:Easy],telecom,normal,a2c024725189473d2d7cea3a5cfdbcc67478e41f,864350a8971a8f8ee9e7b8472e2edc380a806b0c,True,True,True,PASS,True,1.0,1.0,True,True,8918a90bda357aaf4da648c8ff63a5f65843a316847e3fc5004a61f4633765a1,3c3b44b1839b3b485a8145449d2e1de7c140e6d4820f2a06bd222f86c847e708,"[""RewardType.ENV_ASSERTION""]",True,,,False,[]
[mms_issue]break_app_storage_permission|unseat_sim_card|user_abroad_roaming_disabled_on[PERSONA:Easy],telecom,normal,a2c024725189473d2d7cea3a5cfdbcc67478e41f,864350a8971a8f8ee9e7b8472e2edc380a806b0c,True,True,True,PASS,True,1.0,1.0,True,True,efcfe4b30dbf12100b17d368033605a6aed863dd0513ef0badbbccd047664ec5,9445fb054f3ead6a0281687d845555a2245743113b7ca5f09102784c7574237f,"[""RewardType.ENV_ASSERTION""]",True,,,False,[]
[mobile_data_issue]airplane_mode_on|bad_network_preference[PERSONA:Hard],telecom,normal,a2c024725189473d2d7cea3a5cfdbcc67478e41f,864350a8971a8f8ee9e7b8472e2edc380a806b0c,True,True,True,PASS,True,1.0,1.0,True,True,d2502aba33210231f7ded6b9d2a6a419292a08d59a766fab763b25cd975843fd,32d1f179aec968ed9670a6841491cf4ff3f51d6024fb1b11956ffdc52f1c014f,"[""RewardType.ENV_ASSERTION""]",True,,,False,[]
[mobile_data_issue]airplane_mode_on|bad_network_preference|bad_vpn|data_mode_off|data_saver_mode_on|data_usage_exceeded|user_abroad_roaming_disabled_off[PERSONA:Hard],telecom,normal,a2c024725189473d2d7cea3a5cfdbcc67478e41f,864350a8971a8f8ee9e7b8472e2edc380a806b0c,True,True,True,PASS,True,1.0,1.0,True,True,5498a2b5d5e451beb916bf88a0fcdfc90ea1f78ebee1b48b2739fa2559a37e6c,ba23011ad0020b05819e24c7633a91d9f93372195c19a882e92271eb457f4c92,"[""RewardType.ENV_ASSERTION""]",True,,,False,[]
[mobile_data_issue]airplane_mode_on|bad_network_preference|bad_vpn|data_mode_off|data_saver_mode_on|data_usage_exceeded|user_abroad_roaming_disabled_on[PERSONA:None],telecom,normal,a2c024725189473d2d7cea3a5cfdbcc67478e41f,864350a8971a8f8ee9e7b8472e2edc380a806b0c,True,True,True,PASS,True,1.0,1.0,True,True,c0ea9fb3156da530b52bbae066b82af86dcea6c2485209c41fab841a90690b12,98c9e443fdd6ac1d6f3afa1f97c91210114259d6346cd64266811645261d385b,"[""RewardType.ENV_ASSERTION""]",True,,,False,[]
[mobile_data_issue]airplane_mode_on|bad_network_preference|bad_vpn|data_mode_off|data_saver_mode_on|user_abroad_roaming_disabled_off[PERSONA:Hard],telecom,normal,a2c024725189473d2d7cea3a5cfdbcc67478e41f,864350a8971a8f8ee9e7b8472e2edc380a806b0c,True,True,True,PASS,True,1.0,1.0,True,True,79904a82525f98cc817903f5b19261b1e3822fa2bc9c82eb5b7a77730ee4f5bd,35393162b4f3e141bd93d25e06a2d8a975d3a2c4a22faff02182c11fef2697d7,"[""RewardType.ENV_ASSERTION""]",True,,,False,[]
[mobile_data_issue]airplane_mode_on|bad_network_preference|bad_vpn|data_mode_off|data_usage_exceeded|user_abroad_roaming_enabled_off[PERSONA:Easy],telecom,normal,a2c024725189473d2d7cea3a5cfdbcc67478e41f,864350a8971a8f8ee9e7b8472e2edc380a806b0c,True,True,True,PASS,True,1.0,1.0,True,True,72245732aa1dcfdb890d9ff2d6d917db4d7829bef7d4b17e8939d165104af3d6,7a38628a4af38b88f6066b2feb5c349eb06086973b1c554ecaa7edc655f25242,"[""RewardType.ENV_ASSERTION""]",True,,,False,[]
[mobile_data_issue]airplane_mode_on|bad_network_preference|bad_vpn|data_saver_mode_on|data_usage_exceeded|user_abroad_roaming_enabled_off[PERSONA:None],telecom,normal,a2c024725189473d2d7cea3a5cfdbcc67478e41f,864350a8971a8f8ee9e7b8472e2edc380a806b0c,True,True,True,PASS,True,1.0,1.0,True,True,7b3b705994cf7f3d368091bfd15ccfdd892ebf0473fb2c85fb34dbff94eb13fb,e1a9d1c1fc585a4eb17185a9774637bdf0d9fc1c2d53ebcc11a75deeb8a634f3,"[""RewardType.ENV_ASSERTION""]",True,,,False,[]
[mobile_data_issue]airplane_mode_on|bad_network_preference|bad_vpn|data_saver_mode_on|user_abroad_roaming_disabled_on[PERSONA:Easy],telecom,normal,a2c024725189473d2d7cea3a5cfdbcc67478e41f,864350a8971a8f8ee9e7b8472e2edc380a806b0c,True,True,True,PASS,True,1.0,1.0,True,True,21b908260b09931205c10682a2c0459073fb5eb6818c10ef9456046a3313ec5b,a06df1b220f37dbfa5422b84b7e08466860e57b3ca4b3244dd49d2938df8331d,"[""RewardType.ENV_ASSERTION""]",True,,,False,[]
[mobile_data_issue]airplane_mode_on|bad_network_preference|data_mode_off|data_saver_mode_on|data_usage_exceeded|user_abroad_roaming_disabled_on[PERSONA:None],telecom,normal,a2c024725189473d2d7cea3a5cfdbcc67478e41f,864350a8971a8f8ee9e7b8472e2edc380a806b0c,True,True,True,PASS,True,1.0,1.0,True,True,fda31f2d1d945a0cff735bdeccd52fa9355730146b924b7164078ea8f348aae2,0714e0f012c1d8f8582db62168b0d1f5db0779df6a2628438acd91f675aa017a,"[""RewardType.ENV_ASSERTION""]",True,,,False,[]
[mobile_data_issue]airplane_mode_on|bad_network_preference|data_mode_off|data_usage_exceeded|user_abroad_roaming_disabled_on[PERSONA:None],telecom,normal,a2c024725189473d2d7cea3a5cfdbcc67478e41f,864350a8971a8f8ee9e7b8472e2edc380a806b0c,True,True,True,PASS,True,1.0,1.0,True,True,b6b8124d2753bc5c85780d2a498f917afcd3dbe21d584a13fc6b5096e664ebd1,9a6c3c2c9765e0e11ef335f09fc110f6c8f8fb7d1fe2981fd547b553a93d06b6,"[""RewardType.ENV_ASSERTION""]",True,,,False,[]
[mobile_data_issue]airplane_mode_on|bad_network_preference|data_mode_off|user_abroad_roaming_disabled_on[PERSONA:Hard],telecom,normal,a2c024725189473d2d7cea3a5cfdbcc67478e41f,864350a8971a8f8ee9e7b8472e2edc380a806b0c,True,True,True,PASS,True,1.0,1.0,True,True,479dd8f0ec31b3973cfa7aaee26b9577f6f68846207e30fe4c481944cf0557c7,1e9e91cdc53a2c041be249557605e2bf9fadd1e420803d839e8f442d3316163a,"[""RewardType.ENV_ASSERTION""]",True,,,False,[]
[mobile_data_issue]airplane_mode_on|bad_network_preference|data_saver_mode_on|data_usage_exceeded|user_abroad_roaming_disabled_off[PERSONA:None],telecom,normal,a2c024725189473d2d7cea3a5cfdbcc67478e41f,864350a8971a8f8ee9e7b8472e2edc380a806b0c,True,True,True,PASS,True,1.0,1.0,True,True,758e92d4cc4f30269a815eb14c95f6a2fcf3c6249d6572214a09f271d71b4dec,8e7bde78e8a29fdd8d9cb0a23773a182242237aa312d42846f3bb712743a96ff,"[""RewardType.ENV_ASSERTION""]",True,,,False,[]
[mobile_data_issue]airplane_mode_on|bad_network_preference|data_usage_exceeded|user_abroad_roaming_disabled_off[PERSONA:Easy],telecom,normal,a2c024725189473d2d7cea3a5cfdbcc67478e41f,864350a8971a8f8ee9e7b8472e2edc380a806b0c,True,True,True,PASS,True,1.0,1.0,True,True,8287668e70c10d9e7775929fefc3af2c8e76321473baec6dc9add33f494e446c,4ef7438106e79d00ba505e8f5a3663ba88ca4780a13a7f04873ad7f981a7d1d8,"[""RewardType.ENV_ASSERTION""]",True,,,False,[]
[mobile_data_issue]airplane_mode_on|bad_network_preference|user_abroad_roaming_enabled_off[PERSONA:Easy],telecom,normal,a2c024725189473d2d7cea3a5cfdbcc67478e41f,864350a8971a8f8ee9e7b8472e2edc380a806b0c,True,True,True,PASS,True,1.0,1.0,True,True,80fe19833b922ec61d1cf5daa9a10e4acb13acf7fbf8872a1318a24df852b163,ef3fba04957bb49d815b00336a5d3deeee3c013db5efea49dea3ac87ccc4ad1e,"[""RewardType.ENV_ASSERTION""]",True,,,False,[]
[mobile_data_issue]airplane_mode_on|data_mode_off[PERSONA:None],telecom,normal,a2c024725189473d2d7cea3a5cfdbcc67478e41f,864350a8971a8f8ee9e7b8472e2edc380a806b0c,True,True,True,PASS,True,1.0,1.0,True,True,4a9db891a51eef5ca62975bf829b050802535ee25d756de9e3988cf6bff11df8,13a3c35f530d4d23a644800a42e532422f9d84947f6c38d3755bdb18aadafc83,"[""RewardType.ENV_ASSERTION""]",True,,,False,[]
[mobile_data_issue]airplane_mode_on|user_abroad_roaming_enabled_off[PERSONA:None],telecom,normal,a2c024725189473d2d7cea3a5cfdbcc67478e41f,864350a8971a8f8ee9e7b8472e2edc380a806b0c,True,True,True,PASS,True,1.0,1.0,True,True,28f0e60658b45360b28d643345088f37043f5815bb254cf73ec39305966a489e,626be9e6da03ebd1622250ec13c1439c3ec5e4af18736d2c3140cd27d000a95b,"[""RewardType.ENV_ASSERTION""]",True,,,False,[]
[mobile_data_issue]bad_network_preference|bad_vpn|data_mode_off|data_saver_mode_on[PERSONA:None],telecom,normal,a2c024725189473d2d7cea3a5cfdbcc67478e41f,864350a8971a8f8ee9e7b8472e2edc380a806b0c,True,True,True,PASS,True,1.0,1.0,True,True,05e29a8cb9b371f9f382b62c7a6a2b8511e2e44af02df91c1901412761c44195,69b9facbadcba0d50dff52dcdabd88f9d5bf474f41ad0ff7e5f88de14c2d6fd1,"[""RewardType.ENV_ASSERTION""]",True,,,False,[]
[mobile_data_issue]bad_network_preference|bad_vpn|data_usage_exceeded|user_abroad_roaming_disabled_off[PERSONA:Easy],telecom,normal,a2c024725189473d2d7cea3a5cfdbcc67478e41f,864350a8971a8f8ee9e7b8472e2edc380a806b0c,True,True,True,PASS,True,1.0,1.0,True,True,9a7d8be11334149b80cbdb7a7d926da4edfd0333375579de4eeefb0476aebacc,0b467179856bd4f0c1707ecac35f25d52b3445fa503ddce45e352598ed2cf0e5,"[""RewardType.ENV_ASSERTION""]",True,,,False,[]
